bamtools	v2.3.0
bedtools2	2.19.1
bedtools2	2.18.0
biobambam	biobambam_0_0_96
blat	35
bowtie2	2.2.0
bwa	0.7.6a
bwa	0.7.7
cmake	2.8.12.1
cufflinks	2.1.1
emboss	6.6.0
fastqc	0.10.1
fastx	0.0.12
freebayes	v0.9.14
gatk	3.0
m4	1.4.17
mutect	1.1.6
pancancer	0.0.1
picard	1.107
pip	1.2.1
python	2.7.3
python	3.3.0
R	3.0.3
rsem	1.2.11
samtools	0.1.19
tophat	2.0.9
varscan	2.3.6
